Magnetic Field (Oe),Moment (emu/cm3),M. Std. Err. (emu/cm3),Moment (emu/cm3)_lin-part,Moment (emu/cm3)_y-lin-subtract
-80.6714859008789,6.0608885656047855,0.06364472552397606,1.8321728315635015,4.228715734041284
-101.096984863281,6.396428305424509,0.06540877008435686,2.2960671537286257,4.100361151695883
-126.822052001953,6.787362296480395,0.06924277234956012,2.880322774847765,3.9070395216326297
-159.12255859375,7.338981713040738,0.06270479031413352,3.613916683058937,3.7250650299818004
-199.151596069336,8.03667494844709,0.06272342237223771,4.523037348401819,3.5136376000452705
-249.828903198242,8.911131138809084,0.05752303942649596,5.673996504062658,3.2371346347464254
-312.847351074219,9.973880710347668,0.06126729476063071,7.105241841820938,2.8686388685267303
-392.243041992188,11.495891547461232,0.05312573001210351,8.908439417998608,2.5874521294626254
-491.5244140625,13.332048218441491,0.0496487546143513,11.163271228225513,2.168776990215978
-615.708923339844,15.436661118456273,0.29826029278107535,13.983691373685067,1.4529697447712058
-771.273864746094,18.723407937996054,0.04012414132679996,17.516809129052877,1.2065988089431743
-966.401733398438,22.490595546759724,0.03389129092574164,21.948461473537844,0.5421340732218789
-1210.90649414062,27.33104234363929,0.028695718124304777,27.501538559166182,-0.17049621552689329
-1517.26440429687,33.38638847809091,0.02206097878487039,34.459395272162936,-1.0730067940720314
-1900.68701171875,41.07254050714169,0.03210057992539207,43.16750913024614,-2.0949686231044478
-2381.1953125,50.722510572965156,0.05372972981358927,54.08058757674787,-3.358077003782705
-2983.55688476562,62.82156760727446,0.08767928317323234,67.76114019281069,-4.939572585536229
-3737.72998046875,78.18555862273278,0.12904550890629177,84.88956470133161,-6.704006078598836
-4682.8349609375,97.49701901963567,0.1833783609450382,106.35434434252738,-8.857325322891706
-5866.421875,121.81204961281698,0.24837976849108834,133.23541345291764,-11.42336384010066
-7349.69287109375,152.56304186113957,0.3358799779981796,166.92276643198917,-14.359724570849599
-9207.921875,191.35497125512325,0.4242149378483894,209.1259892654395,-17.771018010316247
-11535.6796875,240.51639796866147,0.5449033990195181,261.9929294847187,-21.476531516057218
-14451.7158203125,303.0423675824154,0.7208779033127808,328.2205701279209,-25.178202545505446
-18105.400390625,382.5938182044269,0.9270158735103643,411.2013350174442,-28.60751681301729
-22682.44140625,483.52246413330323,1.2149864743022294,515.1529370504567,-31.630472917153476
-28416.4453125,612.5910680171262,1.6547402927868635,645.3809359002433,-32.78986788311715
-35600.1328125,776.4453648220499,2.435067056807555,808.533466450061,-32.08810162801109
-44599.73828125,983.801793034314,3.8901695276134545,1012.9282715103508,-29.126478476036777
